ID,名前,ルビ,ボード,登場作品,性別,属性,ポジション,カテゴリ,年代区分,学年,チーム,説明文,キック,コントロール,テクニック,プレッシャー,フィジカル,アジリティ,インテリジェンス,ビルド,合計値,シュートAT,フォーカスAT,フォーカスDF,城壁DF,スクランブルAT,スクランブルDF,KP
2838,隠辺 秋芭,おんべ あきは,1,イナズマイレブンGO シャイン／ダーク,女,火,FW,選手,中学生,一年生,無所属,一部で熱狂的な人気を誇るネットアイドル。 普段は変装しており　友達には秘密だとか。,145,141,127,113,109,105,126,ラフ,866,286,340.5,305.5,222,235,239,973
2839,波玖 佳一,はく けいいち,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,一年生,無所属,プログラムのセキュリティホールを発見し 対策を考案する　自称『正義のハッカー』。,126,145,147,107,105,105,130,テンション,865,271,355,329.5,212,235,237,949
2840,大田 久兵衛,おおた きゅうべぇ,1,イナズマイレブンGO シャイン／ダーク,男,山,DF,選手,中学生,二年生,無所属,レコーダーを駆使して 新作アニメは　すべて欠かさず視聴している。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
2841,照灯 君善,てるとう きみよし,1,イナズマイレブンGO シャイン／ダーク,男,山,DF,選手,超越,-,無所属,機械のような　抑揚のない声でしゃべる。 本当に　人間ではないのかもしれない…。,106,110,107,133,138,113,154,テンション,861,216,270,317.5,271,292,287,1132
2842,曇天 五六悟郎,どんてん ごろごろう,1,イナズマイレブンGO シャイン／ダーク,男,風,GK,選手,中学生,一年生,無所属,空に浮かぶ雲は　わたあめだと信じており いつか食べてみたいと　真剣に考えている。,110,120,113,127,133,137,120,ラフ,860,230,288,301.5,260,253,247,1201
2843,正添 快晴,まさぞえ かいせい,1,イナズマイレブンGO シャイン／ダーク,男,火,FW,選手,中学生,二年生,無所属,彼が旅行に行くと　１００％晴天に恵まれる。 そのため　雨具を持って出かけたことがない。,145,141,127,113,109,105,126,カウンター,866,286,340.5,305.5,222,235,239,973
2844,台風坂 巻雄,たいふうざか まきお,1,イナズマイレブンGO シャイン／ダーク,男,林,DF,選手,中学生,二年生,無所属,台風で　暴風警報が出ているにもかかわらず 外出をしたがるので　みんなに注意される。,106,110,107,133,138,113,154,きずな,861,216,270,317.5,271,292,287,1132
2845,閃田 光之進,せんだ こうのしん,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,二年生,無所属,ドスをきかせた声で　相手をビビらせるが 実は小心者で　意外と打たれ弱いのだとか。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
2846,雨露 しずく,あまつゆ しずく,1,イナズマイレブンGO シャイン／ダーク,女,風,MF,選手,中学生,二年生,無所属,自分の誕生日の思い出を振り返ってみると どの年も　どしゃ降りだった記憶しかない。,130,141,137,113,114,105,126,カウンター,866,271,343,315.5,227,240,239,988
2847,細目 由紀子,ささめ ゆきこ,1,イナズマイレブンGO シャイン／ダーク,女,風,MF,選手,中学生,一年生,無所属,アイスクリームが好きで　毎日食べている。 特に　冬の寒空で食べるものは格別らしい。,130,141,137,113,114,105,126,カウンター,866,271,343,315.5,227,240,239,988
2848,江木 茂砂,えぎ しげすな,1,イナズマイレブンGO シャイン／ダーク,男,火,GK,選手,中学生,二年生,無所属,クセ毛と枝毛の多い　自分の髪質が悩みの種。 ストレートパーマをあてても　効果はなし。,110,120,113,123,133,141,120,カウンター,860,230,288,303.5,256,253,243,1209
2849,駒輔 史,こますけ ふひと,1,イナズマイレブンGO シャイン／ダーク,男,林,MF,選手,中学生,二年生,無所属,街角で女の子をナンパするのが趣味だとか。 その守備範囲は広く　恐ろしく節操が無い。,130,141,137,113,114,105,126,せいぎ,866,271,343,315.5,227,240,239,988
2850,黒暮 肌市,こくぼ きいち,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,一年生,無所属,日焼けをしていればいるほどカッコいいと お小遣いを　すべて日焼けサロンにつぎ込む。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
2851,歩須 藤一,ほす とういち,1,イナズマイレブンGO シャイン／ダーク,男,風,DF,選手,中学生,一年生,無所属,巧みな話術で　女の子を喜ばせるのが得意。 その結果　いろんな子から贈り物をもらう。,106,110,107,133,138,113,154,ラフ,861,216,270,317.5,271,292,287,1132
2852,露海 琉美,つゆみ るみ,1,イナズマイレブンGO シャイン／ダーク,女,山,FW,選手,中学生,二年生,無所属,独創的なロールヘアを　探し求めており あれやこれやと髪型を変え　研究している。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
2853,羽夜姫 盛子,はやき もりこ,1,イナズマイレブンGO シャイン／ダーク,女,林,FW,選手,中学生,三年生,無所属,創業１００年を越える老舗旅館の女将の娘。 髪飾りの花は　自分でタネから育てている。,145,141,127,113,109,105,126,テンション,866,286,340.5,305.5,222,235,239,973
2854,伊本 武司,いもと たけじ,1,イナズマイレブンGO シャイン／ダーク,男,山,MF,選手,中学生,二年生,無所属,野菜本来のおいしさを　しっかり味わうため サラダは　ドレッシングをかけずに食べる。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
2855,駆 茂,かけ しげる,1,イナズマイレブンGO シャイン／ダーク,男,山,GK,選手,中学生,三年生,無所属,今では　フリークライミングの天才だが 元々は　高所恐怖症の克服のために始めた。,110,120,113,123,133,141,120,テンション,860,230,288,303.5,256,253,243,1209
2856,蜂花 蜜子,はちばな みつこ,1,イナズマイレブンGO シャイン／ダーク,女,火,DF,選手,中学生,一年生,無所属,ハチミツ農場の娘なのだが　大の虫嫌いで 両親の仕事を　手伝いたくても手伝えない。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
2857,鎌井川 桐也,かまいがわ きりや,1,イナズマイレブンGO シャイン／ダーク,男,林,FW,選手,中学生,二年生,無所属,飛んでいる虫を　素手で捕まえられるので 周囲からは　『昆虫ハンター』と呼ばれる。,145,141,127,113,109,105,126,ひっさつ,866,286,340.5,305.5,222,235,239,973
2858,八田 跳介,はちだ ちょうすけ,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,二年生,無所属,優れたジャンプ力を持ち　バスケでは リバウンドで無類の強さを誇るという。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
2859,上霧 夢代,かみきり ゆめよ,1,イナズマイレブンGO シャイン／ダーク,女,山,MF,選手,中学生,一年生,無所属,極度のあがり性なので　クラスでは 目立たない生徒として過ごすのが目標。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
2860,吉根 九蔵,よしね きゅうぞう,1,イナズマイレブンGO シャイン／ダーク,男,山,GK,選手,中学生,三年生,無所属,歌舞伎役者の家系だが　跡を継ぐ気は無く 放課後は　サッカーにのめりこんでいる。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
2861,福田 楼太郎,ふくだ ろうたろう,1,イナズマイレブンGO シャイン／ダーク,男,風,DF,選手,中学生,二年生,無所属,ＡＭラジオ深夜番組のヘビーリスナー。 そのせいで　完全に夜型の生活をしている。,106,110,107,133,138,113,154,カウンター,861,216,270,317.5,271,292,287,1132
2862,犬飼 咆子,いぬかい ほうこ,1,イナズマイレブンGO シャイン／ダーク,女,林,FW,選手,中学生,一年生,無所属,他人には　キツイ態度で当たってしまうが 気を許した相手には　とことん甘えるという。,145,141,127,113,109,105,126,きずな,866,286,340.5,305.5,222,235,239,973
2863,大田貫 楽美,おおたぬき らくみ,1,イナズマイレブンGO シャイン／ダーク,女,火,MF,選手,中学生,一年生,無所属,なぜか高い場所でないと　ぐっすり眠れず いつも　ロフトやタンスの上で寝ている。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
2864,郷里 乱造,ごうり らんぞう,1,イナズマイレブンGO シャイン／ダーク,男,山,DF,選手,中学生,二年生,無所属,腕っぷしが強く　腕相撲大会では有名選手。 しかし　意外にもケンカは苦手なのだとか。,110,116,117,127,133,113,145,カウンター,861,226,288,318.5,260,278,272,1105
2865,百園 頼音,ももその よりね,1,イナズマイレブンGO シャイン／ダーク,男,火,FW,選手,中学生,二年生,無所属,高慢な態度と　口のききかたが災いして 頻繁に騒ぎを起こす　トラブルメーカー。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
2866,九朗田 踊助,くろた ようすけ,1,イナズマイレブンGO シャイン／ダーク,男,山,GK,選手,中学生,一年生,無所属,放課後は　近所のベリーダンス教室で インストラクターをしているのだとか。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
2867,赤戸 知里,あかど ちさと,1,イナズマイレブンGO シャイン／ダーク,男,山,DF,選手,中学生,一年生,無所属,ノリの良いヒップホップが大好きで 自宅には　膨大な枚数の音楽ＣＤがある。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
2868,耳野 輪子,みみの りんこ,1,イナズマイレブンGO シャイン／ダーク,女,火,FW,選手,中学生,一年生,無所属,ピアスよりもイヤリングの方が クールなファッションというのが彼女の持論。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
2869,小戸炉 理沙,おどろ りさ,1,イナズマイレブンGO シャイン／ダーク,女,林,FW,選手,中学生,一年生,無所属,ボランティアで曲芸団員をしている。 跳躍器具を使った空中芸が得意。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
2870,布施 覆,ぬのせ おおい,1,イナズマイレブンGO シャイン／ダーク,男,林,GK,選手,中学生,三年生,無所属,プロも絶賛する　パントマイムの天才。 世界一のパフォーマーを目指して特訓中。,110,120,113,127,133,137,120,ラフ,860,230,288,301.5,260,253,247,1201
2871,縁帽 踏,えんぼう とう,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,一年生,無所属,キレの良いステップを踏むことができる。 バックダンサーとしてテレビに出たことも。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
2872,伊香保 典,いかほ のり,1,イナズマイレブンGO シャイン／ダーク,男,風,DF,選手,中学生,二年生,無所属,将来　イタリア料理のシェフになるのが夢。 現在の得意料理は　イカ墨パスタだとか。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
2873,深田 顎,ふかだ がく,1,イナズマイレブンGO シャイン／ダーク,男,風,DF,選手,中学生,三年生,無所属,中学生にして　フカヒレ料理が大好物。 せっせとおこづかいを貯め　料理店へ行く。,106,110,107,133,138,113,154,ラフ,861,216,270,317.5,271,292,287,1132
2874,平丹 洸,ひらに あきら,1,イナズマイレブンGO シャイン／ダーク,男,風,FW,選手,中学生,二年生,無所属,ちっとも野菜を食べようとしない偏食家。 とにかく肉が好きで　朝昼晩と肉を食べる。,145,141,127,113,109,105,126,ラフ,866,286,340.5,305.5,222,235,239,973
2875,添田 久留三,そえだ くるぞう,1,イナズマイレブンGO シャイン／ダーク,男,火,GK,選手,中学生,二年生,無所属,広い場所にいると　落ち着かないと言い すぐに　そこらの物陰に隠れようとする。,110,120,113,123,133,141,120,カウンター,860,230,288,303.5,256,253,243,1209
2876,車井 翻五郎,くるまい ほんごろう,1,イナズマイレブンGO シャイン／ダーク,男,林,MF,選手,中学生,一年生,無所属,意外とマメな性格で　きちんと計画を立てる。 それゆえに　突然のできごとに弱い一面も。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
2877,海月 水姫,うみつき みずき,1,イナズマイレブンGO シャイン／ダーク,女,風,MF,選手,中学生,二年生,無所属,いつでもどこでも　ぼーっとしているため 気がつくと　他人のペースに流されている。,130,141,137,113,114,105,126,きずな,866,271,343,315.5,227,240,239,988
2878,現井 俊一,あらい しゅんいち,1,イナズマイレブンGO シャイン／ダーク,男,林,GK,選手,中学生,二年生,無所属,駅伝の全国大会に出場した事もあるという 陸上界ではとても有名な　期待のホープ。,110,120,113,127,133,137,120,ラフ,860,230,288,301.5,260,253,247,1201
2879,室居 秀和,むろい ひでかず,1,イナズマイレブンGO シャイン／ダーク,男,山,FW,選手,中学生,二年生,無所属,勉強でもスポーツでも　基本的には優秀だが ムラッ気がありすぎて　好不調の波が激しい。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
2880,中岡 修清,なかおか おさきよ,1,イナズマイレブンGO シャイン／ダーク,男,山,MF,選手,中学生,二年生,無所属,野球部の強打者で　中学生ながらすでに ドラフトの目玉になると言われる逸材だ。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
2881,三三十 一六三,みさと ひろみ,1,イナズマイレブンGO シャイン／ダーク,男,風,DF,選手,中学生,一年生,無所属,将棋の天才で　この界隈では負け知らず。 現在は　プロの棋士を目指しているらしい。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
2882,四乃又 晴海,しのまた はるみ,1,イナズマイレブンGO シャイン／ダーク,男,山,FW,選手,中学生,一年生,無所属,趣味は『消波ブロック』の写真を撮る事。 あちこちの港へ出向いては　撮影をする。,145,141,127,113,109,105,126,カウンター,866,286,340.5,305.5,222,235,239,973
2883,富福 涼,とみふく りょう,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,二年生,無所属,ナルシストだが　小学生の頃は太っていた。 当時の話は　彼の前では絶対に禁句である。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
2884,盃仁田 克男,はいにだ かつお,1,イナズマイレブンGO シャイン／ダーク,男,火,GK,選手,中学生,三年生,無所属,人並み外れた　すごい肺活量の持ち主で ３分以上　息を吐き続ける事ができるとか。,110,120,113,123,133,141,120,カウンター,860,230,288,303.5,256,253,243,1209
2885,禅堂寺 誠,ぜんどうじ まこと,1,イナズマイレブンGO シャイン／ダーク,男,林,DF,選手,中学生,二年生,無所属,いかなる時も心を平静に保てる秘訣は座禅。 彼は　座禅を組むのが趣味なのだという。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
2886,空森 射子,そらもり いこ,1,イナズマイレブンGO シャイン／ダーク,女,火,FW,選手,中学生,一年生,無所属,母はエアライフルの　　元・日本代表選手。 自身も射撃ゲームでは　プロ級の腕前だ。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
2887,書原 辰人,かきはら たつひと,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,一年生,無所属,荒々しい筆遣いで文字を書く　書道の達人。 その力強い文字は　解読が非常に難しい…。,126,145,147,107,105,105,130,せいぎ,865,271,355,329.5,212,235,237,949
2888,佐々西 己利,ささにし おとのし,1,イナズマイレブンGO シャイン／ダーク,男,山,DF,選手,中学生,二年生,無所属,若き天才テニスプレイヤーとして有名。 部屋には　数え切れないトロフィーの山が。,110,116,117,127,133,113,145,カウンター,861,226,288,318.5,260,278,272,1105
2889,里梨 杏寿,さとなし あんじゅ,1,イナズマイレブンGO シャイン／ダーク,女,林,FW,選手,中学生,一年生,無所属,なぜだか　よく外国人に道を尋ねられるが 言葉がわからず　テキトーな英語で返す。,154,145,133,107,105,105,116,カウンター,865,299,355,301.5,212,221,223,949
2890,滑川 巳矩児,なめかわ みくじ,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,二年生,無所属,塩辛いものに　辛いトラウマがあるらしく 塩をなめることはおろか　見るのもダメ。,126,145,147,107,105,105,130,せいぎ,865,271,355,329.5,212,235,237,949
2891,臼場 影郎,うすば かげろう,1,イナズマイレブンGO シャイン／ダーク,男,風,FW,選手,中学生,三年生,無所属,公園で砂場を見かけると　なぜか興奮して スコップで黙々と穴を掘り続けてしまう。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
2892,亀山 牟狭士,かめやま むさし,1,イナズマイレブンGO シャイン／ダーク,男,山,DF,選手,中学生,二年生,無所属,自分の体臭を　ひどく気にしているようで 全身にアロマオイルを塗りたくっている。,106,110,107,133,138,113,154,ラフ,861,216,270,317.5,271,292,287,1132
2893,針立 棘,はりたち おどろ,1,イナズマイレブンGO シャイン／ダーク,男,林,DF,選手,中学生,一年生,無所属,ツンケンとした態度で　気難しい性格だが 実は　某アイドルグループのファンらしい。,110,116,117,127,133,113,145,カウンター,861,226,288,318.5,260,278,272,1105
2894,刺倉 リン,さくら りん,1,イナズマイレブンGO シャイン／ダーク,女,火,GK,選手,中学生,三年生,無所属,初対面の相手は　様子をじっくりとうかがい 慎重に　付け入るスキを狙っていくらしい。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
2895,斑 天橙,まだら てんとう,1,イナズマイレブンGO シャイン／ダーク,男,林,GK,選手,中学生,三年生,無所属,小学生向けのマンガばかり買っていて それ以外の本には　まったく興味がない。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
2896,太力 場佳,たちから じょうか,1,イナズマイレブンGO シャイン／ダーク,男,山,GK,選手,中学生,二年生,無所属,リンゴを　素手で握りつぶすほどの怪力だが 不器用なため　食事中に箸を壊してしまう。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
2897,高田 阿玖介,たかだ あくすけ,1,イナズマイレブンGO シャイン／ダーク,男,林,DF,選手,中学生,一年生,無所属,不機嫌に見える顔は　生まれつきのもので 笑っても　笑顔に見えないのが最大の悩み。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
2898,割鞘 睦雄,わるさや むつお,1,イナズマイレブンGO シャイン／ダーク,男,風,FW,選手,中学生,二年生,無所属,チョイワル系イケメンを目指しているが どうもその感性は　ちょっとズレている…。,145,141,127,113,109,105,126,テンション,866,286,340.5,305.5,222,235,239,973
2899,神村 島,かみむら とう,1,イナズマイレブンGO シャイン／ダーク,男,火,FW,選手,中学生,一年生,無所属,一年生ながら　不良グループのリーダー。 強さこそ正義という考えかたを貫いている。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
2900,陽光 稚佐,ひかり わらさ,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,二年生,無所属,以前は　街で恐れられる不良だったが あるできごとをキッカケに　足を洗った。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
2901,巣賀 舛緒,すが ますお,1,イナズマイレブンGO シャイン／ダーク,男,火,DF,選手,中学生,一年生,無所属,ホコリに敏感で　すぐ咳きこんでしまうため どんなときでも　ガスマスクをつけている。,106,110,107,133,138,113,154,ラフ,861,216,270,317.5,271,292,287,1132
2902,怖川 霊子,ふかわ れいこ,1,イナズマイレブンGO シャイン／ダーク,女,火,GK,選手,中学生,一年生,無所属,本人いわく　非常に強い霊感を持っており 幽体離脱も経験したことがあるという。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
2903,粉木 夢二,こなき ゆめじ,1,イナズマイレブンGO シャイン／ダーク,男,林,DF,選手,中学生,三年生,無所属,身体が非常に重く　体重計が壊れてしまう。 そのため　正確な体重は未だに不明のまま。,106,110,107,133,138,113,154,ひっさつ,861,216,270,317.5,271,292,287,1132
2904,大賀美 音男,おおがみ おとお,1,イナズマイレブンGO シャイン／ダーク,男,風,DF,選手,中学生,二年生,無所属,満月を見ると　興奮するクセがあるため 夜は外出するなと親にキツく言われている。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
2905,赤尾 任太郎,あかお にんたろう,1,イナズマイレブンGO シャイン／ダーク,男,山,MF,選手,中学生,二年生,無所属,あまりにも短気で　些細なことでも怒るが いつものことなので　誰も構ってくれない。,126,145,147,107,105,105,130,テンション,865,271,355,329.5,212,235,237,949
2906,又野 猫美,またの ねこみ,1,イナズマイレブンGO シャイン／ダーク,女,火,FW,選手,中学生,一年生,無所属,身のこなしが軽く　走り高跳びが得意。 時々お婆さん口調になるクセがある。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
2907,砂嶺 高兵,すなみね こうへい,1,イナズマイレブンGO シャイン／ダーク,男,林,FW,選手,中学生,一年生,無所属,親の整骨院を継ぐため　人体骨格模型を たくさん収集しているが　周りはドン引き。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
2908,白鷺 央,しらさぎ ひろ,1,イナズマイレブンGO シャイン／ダーク,男,風,GK,選手,中学生,三年生,無所属,名門の家　白鷺家の長男として生まれた。 先祖代々　黒王家をライバル視している。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
2909,白夜 僧輔,びゃくや そうすけ,1,イナズマイレブンGO シャイン／ダーク,男,風,DF,選手,中学生,二年生,無所属,白鷺家に仕える執事で　双子の長男。 何事にも斜に構えた性分の　ひねくれもの。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
2910,白夜 那緋人,びゃくや ないと,1,イナズマイレブンGO シャイン／ダーク,男,風,FW,選手,中学生,一年生,無所属,白鷺家に仕える執事の　末っ子三男。 いたって真面目で　人当たりのよい性格。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
2911,白夜 短句朗,びゃくや たんくろう,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,二年生,無所属,白鷺家に仕える執事で　双子の次男。 ボディガードとして　肉体を鍛えている。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
2912,白鷺 弓音,しらさぎ ゆみね,1,イナズマイレブンGO シャイン／ダーク,女,風,FW,選手,中学生,二年生,無所属,身のこなしにすぐれている　白鷺家の娘。 ワガママで　家族に対しても反抗的な態度。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
2913,白木 プンタ,しらき ぷんた,1,イナズマイレブンGO シャイン／ダーク,男,風,MF,選手,中学生,一年生,無所属,白鷺家のお手伝いで　五つ子の三男。 将来は独立した生活をしたいと考えている。,130,141,137,113,114,105,126,カウンター,866,271,343,315.5,227,240,239,988
2914,皮羽他 頭水,かわはた とうすい,1,イナズマイレブンGO シャイン／ダーク,男,山,FW,選手,中学生,三年生,無所属,気弱な性格なのに　顔が怖いという理由で プロレス同好会では悪役レスラーを演じる。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
2915,格根 刃闘,かくね じんとう,1,イナズマイレブンGO シャイン／ダーク,男,山,GK,選手,中学生,二年生,無所属,総合格闘技が大好きで　テレビの中継は すべての試合を録画して残している。,110,120,113,123,133,141,120,カウンター,860,230,288,303.5,256,253,243,1209
2916,相模原 撲彦,さがみはら ぼくひこ,1,イナズマイレブンGO シャイン／ダーク,男,林,MF,選手,中学生,二年生,無所属,モンゴル旅行で体験した　モンゴル相撲に 感銘を受けて　現在は選手を目指している。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
2917,番東 辺亜美,ばんどう へあみ,1,イナズマイレブンGO シャイン／ダーク,女,山,DF,選手,中学生,三年生,無所属,小学五年生の頃に　キックボクシングの 全国チャンピオンになったことがある。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
2918,四分一 鯖人,しぶいち さばひと,1,イナズマイレブンGO シャイン／ダーク,男,山,FW,選手,中学生,一年生,無所属,祖父にフランス人を持つ　クォーター。 サバットという格闘技を　練習している。,145,141,127,113,109,105,126,ラフ,866,286,340.5,305.5,222,235,239,973
2919,額鉢 菅夫,ぬかばち すがお,1,イナズマイレブンGO シャイン／ダーク,男,風,FW,選手,中学生,一年生,無所属,格闘ゲームのキャラクターに憧れている。 ハチマキは　そのキャラクターの衣装だ。,154,145,133,107,105,105,116,テンション,865,299,355,301.5,212,221,223,949
2920,田渕 蔵三,たぶち くらぞう,1,イナズマイレブンGO シャイン／ダーク,男,林,GK,選手,中学生,二年生,無所属,安物のサングラスが　とにかく嫌いらしく １万円以下のものはオモチャだと言いきる。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
2921,渡貫 修司,わたりぬき しゅうじ,1,イナズマイレブンGO シャイン／ダーク,男,林,DF,選手,中学生,三年生,無所属,趣味はゴルフ。 放課後は練習場で５００スイングが日課。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
2922,萌葉 愛香,もえは まなか,1,イナズマイレブンGO シャイン／ダーク,女,火,FW,選手,中学生,一年生,無所属,腹黒い性格だが　上辺の愛想はとても良く 相手は簡単にだまされてしまうという。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
2923,明析 智利,めいせき さとり,1,イナズマイレブンGO シャイン／ダーク,男,林,MF,選手,中学生,一年生,無所属,外見とは裏腹に　勉強はからっきしダメ。 テストはいつも赤点で　補習授業の常連。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
2924,竹陸 章輔,たけおか しょうすけ,1,イナズマイレブンGO シャイン／ダーク,男,火,DF,選手,中学生,一年生,無所属,かつて　ハンドボール部のエースだったが 肩を痛めてからは　一線から退いている。,110,116,117,127,133,113,145,きずな,861,226,288,318.5,260,278,272,1105
2925,邸 緩助,やしき かんすけ,1,イナズマイレブンGO シャイン／ダーク,男,山,MF,選手,中学生,二年生,無所属,とてもおっとりとした性格の癒やし系。 家族も彼が怒ったところを見たことがない。,130,141,137,113,114,105,126,せいぎ,866,271,343,315.5,227,240,239,988
2926,黒王 主,こくおう あるじ,1,イナズマイレブンGO シャイン／ダーク,男,火,GK,選手,中学生,三年生,無所属,名家である黒王家に生まれた跡継ぎ。 白鷺家とは良きライバル関係にあるという。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
2927,黒沢 僧吉,くろさわ そうきち,1,イナズマイレブンGO シャイン／ダーク,男,火,DF,選手,中学生,二年生,無所属,黒王家に仕える　黒沢家の双子の長男。 頭脳明晰で　家庭教師役もつとめている。,106,110,107,133,138,113,154,テンション,861,216,270,317.5,271,292,287,1132
2928,黒沢 騎平,くろさわ きへい,1,イナズマイレブンGO シャイン／ダーク,男,火,FW,選手,中学生,一年生,無所属,黒王家に仕える　黒沢家の末っ子三男。 ぶっきらぼうな態度だが　それは照れ隠し。,154,145,133,107,105,105,116,テンション,865,299,355,301.5,212,221,223,949
2929,黒沢 丹九,くろさわ たんく,1,イナズマイレブンGO シャイン／ダーク,男,火,MF,選手,中学生,二年生,無所属,黒王家に仕える　黒沢家の双子の次男。 竹を割ったような　豪胆で実直な性格だ。,126,145,147,107,105,105,130,テンション,865,271,355,329.5,212,235,237,949
2930,黒王 媛子,こくおう ひめこ,1,イナズマイレブンGO シャイン／ダーク,女,火,FW,選手,中学生,二年生,無所属,スポーツも学業も優秀な　黒王家の娘。 その素顔を　家族以外に見せることはない。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
2931,黒石 プースケ,くろいし ぷーすけ,1,イナズマイレブンGO シャイン／ダーク,男,火,MF,選手,中学生,一年生,無所属,黒王家のお手伝いで　五つ子の三男。 細かなところまで気が利く　有能な少年。,130,141,137,113,114,105,126,せいぎ,866,271,343,315.5,227,240,239,988
2932,典河 論也,のりかわ あげなり,1,イナズマイレブンGO シャイン／ダーク,男,林,GK,選手,中学生,二年生,無所属,テンガロンハットを収集するコレクター。 かぶるだけでカッコよさ３割増し…らしい。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
2933,丸盤 條樹,まるさら じょうき,1,イナズマイレブンGO シャイン／ダーク,男,火,FW,選手,中学生,三年生,無所属,お昼の校内放送でＤＪを担当している。 ラジオで本物のＤＪとして活躍するのが夢。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
2934,寧山 食朗,ねやま たべろう,1,イナズマイレブンGO シャイン／ダーク,男,林,MF,選手,中学生,二年生,無所属,うなぎのかば焼きが好物で　味にうるさい。 炭で焼いたものしか認めない　こだわり派。,130,141,137,113,114,105,126,テンション,866,271,343,315.5,227,240,239,988
